myMgGwwpwHrrxDibUZTBY5CcdQK5QKmccC	 OpenLongPosition	 1171	 mxbTtqPBP8Mo27YgT9vrBUsh2DTnchJ2Pa	 OpenShortPosition	 1171	 1171	 15981
mtLCwj8AdnM7ZmS1ZoktskifVUhDU6HKWW	 OpenLongPosition	 758	 mxbTtqPBP8Mo27YgT9vrBUsh2DTnchJ2Pa	 ShortPosIncreased	 1929	 758	 16055
n4MjWcyt8Bs8kyGFvBmBLehyyEvmX2bggE	 OpenLongPosition	 1488	 mxbTtqPBP8Mo27YgT9vrBUsh2DTnchJ2Pa	 ShortPosIncreased	 3417	 1488	 16084
mhwGgJ9BFhrYM7m1eXZNCcEUHJ8b7gcntS	 LongPosIncreased	 971	 mxbTtqPBP8Mo27YgT9vrBUsh2DTnchJ2Pa	 ShortPosIncreased	 3591	 174	 16641
my9fXvoPZanTN14dgPAFeneakx6YM6ndfh	 LongPosIncreased	 2589	 mzgsSqV1WTRQ78NLMabB7T6Z88WAmBSbWD	 OpenShortPosition	 401	 401	 14256
moJmCiLmLhwFbs8qGvtfWAd1xSHVTq5TLh	 ShortPosNettedPartly	 2257	 mzgsSqV1WTRQ78NLMabB7T6Z88WAmBSbWD	 ShortPosIncreased	 3230	 2829	 14359
n3i6GMc4BEhGajcB2f3w3TvxtatRSnxV5D	 OpenLongPosition	 609	 mzgsSqV1WTRQ78NLMabB7T6Z88WAmBSbWD	 ShortPosIncreased	 3839	 609	 14372
mzd8Yemr69iJvoJrbWG1rMVgSfSiwwN87w	 OpenLongPosition	 330	 mzohN5AHEiqXT7dx7cj76uNs3AFVMEQ9Ms	 LongPosNettedPartly	 4754	 330	 21124
n31CCed7QGKz5CUsS9ZKfY3NEpHNZ9wz5w	 LongPosIncreased	 1051	 n1dZfh2LnN6scysKGUAVQ3mVZhjD9SWzN5	 LongPosNettedPartly	 1227	 430	 13656
n31CCed7QGKz5CUsS9ZKfY3NEpHNZ9wz5w	 LongPosIncreased	 2091	 mhdDVVM7gp8tPveeb5Jv8XmHaxe1tmhCz4	 OpenShortPosition	 1040	 1040	 13656
mkt8mVu9Nc1vLrnyMEahE5ckGGz7bCZ6mX	 OpenLongPosition	 2145	 mhdDVVM7gp8tPveeb5Jv8XmHaxe1tmhCz4	 ShortPosIncreased	 3185	 2145	 13705
muZTmpFfKndFumiac2MrHUeDGGeNcG4ko9	 OpenLongPosition	 564	 mhdDVVM7gp8tPveeb5Jv8XmHaxe1tmhCz4	 ShortPosIncreased	 3749	 564	 13773
mhwGgJ9BFhrYM7m1eXZNCcEUHJ8b7gcntS	 LongPosIncreased	 1217	 my9fXvoPZanTN14dgPAFeneakx6YM6ndfh	 LongPosNettedPartly	 2343	 246	 16641
myHC7FnphtWNEZSktciRa1G5Q7H7uff1JW	 ShortPosNettedPartly	 1641	 mho62ziKBMdbaUdYn6foS6ztyMfosyzUk4	 OpenShortPosition	 2010	 2010	 20555
mzMjgkaCpkNYigwMDGPj9oWAAYVJE8F7Wc	 OpenLongPosition	 822	 mho62ziKBMdbaUdYn6foS6ztyMfosyzUk4	 ShortPosIncreased	 2832	 822	 20676
mnAA9VvY6RP7jazfTGRWcQJ5TRvJLeMCUv	 OpenLongPosition	 544	 mho62ziKBMdbaUdYn6foS6ztyMfosyzUk4	 ShortPosIncreased	 3376	 544	 20699
mkyjGQzgk5MzhWHGZu65gF7PyJk1AqbKTa	 ShortPosNettedPartly	 813	 mnAA9VvY6RP7jazfTGRWcQJ5TRvJLeMCUv	 LongPosNetted	 0	 544	 17243
mkyjGQzgk5MzhWHGZu65gF7PyJk1AqbKTa	 ShortPosNetted	 0	 mnAA9VvY6RP7jazfTGRWcQJ5TRvJLeMCUv	 OpenShortPosition	 813	 813	 17243
mkyjGQzgk5MzhWHGZu65gF7PyJk1AqbKTa	 OpenLongPosition	 1792	 mnAA9VvY6RP7jazfTGRWcQJ5TRvJLeMCUv	 ShortPosIncreased	 2605	 1792	 17243
myvYCodwri3KMR8TZQ5zpNt9jo1tUGt15Y	 OpenLongPosition	 187	 mnAA9VvY6RP7jazfTGRWcQJ5TRvJLeMCUv	 ShortPosIncreased	 2792	 187	 17336
mysPqfMLWFvHnkYtqMT9c7CVLRUimueqqJ	 ShortPosNettedPartly	 1092	 mkt8mVu9Nc1vLrnyMEahE5ckGGz7bCZ6mX	 LongPosNettedPartly	 1580	 565	 15507
mic4GpLytND6BK8qr8aa15wcGAeyskwP5q	 OpenLongPosition	 130	 myr1WE3dhtP7vXSGgMWnsH2BoPey7fCENH	 OpenShortPosition	 130	 130	 20219
mpAMVSEz7SbZVzJdexuhRMVfpNYvxbbBHh	 OpenLongPosition	 229	 mqCSHb8gJ5vjaxR74zXXDqycRb3MnQ89aR	 LongPosNetted	 0	 229	 15099
mpAMVSEz7SbZVzJdexuhRMVfpNYvxbbBHh	 LongPosIncreased	 1175	 mqCSHb8gJ5vjaxR74zXXDqycRb3MnQ89aR	 OpenShortPosition	 946	 946	 15099
muZTmpFfKndFumiac2MrHUeDGGeNcG4ko9	 LongPosIncreased	 1130	 moasEFkKEZMiE3UWgPxeyu4TnNzaaFy3Kp	 OpenShortPosition	 566	 566	 13773
mrNvw6q378YAq9weAyxHLBWf3JXSYFBKhb	 ShortPosNettedPartly	 3558	 moasEFkKEZMiE3UWgPxeyu4TnNzaaFy3Kp	 ShortPosIncreased	 1201	 635	 13818
mrNvw6q378YAq9weAyxHLBWf3JXSYFBKhb	 ShortPosNettedPartly	 2387	 myMgGwwpwHrrxDibUZTBY5CcdQK5QKmccC	 LongPosNetted	 0	 1171	 13818
mrNvw6q378YAq9weAyxHLBWf3JXSYFBKhb	 ShortPosNettedPartly	 934	 myMgGwwpwHrrxDibUZTBY5CcdQK5QKmccC	 OpenShortPosition	 1453	 1453	 13818
n3i6GMc4BEhGajcB2f3w3TvxtatRSnxV5D	 LongPosIncreased	 2457	 myMgGwwpwHrrxDibUZTBY5CcdQK5QKmccC	 ShortPosIncreased	 3301	 1848	 14372
muRzcQNroX7TsMnLGVE1BrB2wY5E69NQaR	 LongPosIncreased	 376	 myMgGwwpwHrrxDibUZTBY5CcdQK5QKmccC	 ShortPosIncreased	 3652	 351	 14485
mxbTtqPBP8Mo27YgT9vrBUsh2DTnchJ2Pa	 ShortPosNettedPartly	 3466	 n2gUG83546gzmTn6HDwao523LfLT18p3ZJ	 LongPosNettedPartly	 521	 125	 21994
mzFtD528JGWy8bomzrDiPPWRrcdDtMftw7	 ShortPosNettedPartly	 2626	 mmZQt2BbZBpbWEKymeSyazWZAS1CQRmU1x	 OpenShortPosition	 2094	 2094	 17457
mnAA9VvY6RP7jazfTGRWcQJ5TRvJLeMCUv	 ShortPosNettedPartly	 1887	 n3wt5ZwUAFCmNG8fX5yggMJgxNQzLE3YEh	 OpenShortPosition	 905	 905	 20699
n3hLyb7VxpTA458e4cmSWuifz9fiKyFseZ	 LongPosIncreased	 1035	 n3wt5ZwUAFCmNG8fX5yggMJgxNQzLE3YEh	 ShortPosIncreased	 1415	 510	 20971
mzd8Yemr69iJvoJrbWG1rMVgSfSiwwN87w	 LongPosIncreased	 960	 n3wt5ZwUAFCmNG8fX5yggMJgxNQzLE3YEh	 ShortPosIncreased	 2045	 630	 21124
mhwGgJ9BFhrYM7m1eXZNCcEUHJ8b7gcntS	 LongPosIncreased	 2794	 myQ7G8oPUX85pBwiRWByc29P8ovvnbwxyP	 OpenShortPosition	 1577	 1577	 16641
mvVpMfDUvHKxFiwU53CMnKKmxNw7xYF1Va	 LongPosIncreased	 3617	 myQ7G8oPUX85pBwiRWByc29P8ovvnbwxyP	 ShortPosIncreased	 2036	 459	 17094
mvVpMfDUvHKxFiwU53CMnKKmxNw7xYF1Va	 LongPosIncreased	 4157	 mwU8MAUAnGcA9RFkEHRRKmKLddn6iNsEKG	 OpenShortPosition	 540	 540	 17094
myvYCodwri3KMR8TZQ5zpNt9jo1tUGt15Y	 LongPosIncreased	 2806	 mwU8MAUAnGcA9RFkEHRRKmKLddn6iNsEKG	 ShortPosIncreased	 3159	 2619	 17336
mzFtD528JGWy8bomzrDiPPWRrcdDtMftw7	 ShortPosNettedPartly	 2436	 mwU8MAUAnGcA9RFkEHRRKmKLddn6iNsEKG	 ShortPosIncreased	 3349	 190	 17457
n3wt5ZwUAFCmNG8fX5yggMJgxNQzLE3YEh	 ShortPosNettedPartly	 1280	 mwU8MAUAnGcA9RFkEHRRKmKLddn6iNsEKG	 ShortPosIncreased	 4114	 765	 17469
mxa83eTf3e8zWXbgcW515rFSdYRQT7sGDr	 OpenLongPosition	 147	 mwU8MAUAnGcA9RFkEHRRKmKLddn6iNsEKG	 ShortPosIncreased	 4261	 147	 17571
muRzcQNroX7TsMnLGVE1BrB2wY5E69NQaR	 LongPosIncreased	 1693	 mjyhKEsAS9BZZDyvdYSDnw37QmLsRDNnZB	 OpenShortPosition	 1317	 1317	 14485
mjipxHiwwnw9WwfeEhUp5jv7yaJfYSPzDY	 OpenLongPosition	 1646	 mjyhKEsAS9BZZDyvdYSDnw37QmLsRDNnZB	 ShortPosIncreased	 2963	 1646	 14638
mxa83eTf3e8zWXbgcW515rFSdYRQT7sGDr	 LongPosIncreased	 1550	 msC1ZArDMfi7gG712X3fadeLDzRwVfgAFn	 OpenShortPosition	 1403	 1403	 17571
mt671jnuSsXRSCivyUXetbE2bCmEfT12Bw	 LongPosIncreased	 3097	 msC1ZArDMfi7gG712X3fadeLDzRwVfgAFn	 ShortPosIncreased	 4285	 2882	 18101
mjipxHiwwnw9WwfeEhUp5jv7yaJfYSPzDY	 LongPosIncreased	 2679	 mpAMVSEz7SbZVzJdexuhRMVfpNYvxbbBHh	 LongPosNettedPartly	 142	 1033	 14638
mwU8MAUAnGcA9RFkEHRRKmKLddn6iNsEKG	 ShortPosNettedPartly	 4119	 mpAMVSEz7SbZVzJdexuhRMVfpNYvxbbBHh	 LongPosNetted	 0	 142	 14724
mwU8MAUAnGcA9RFkEHRRKmKLddn6iNsEKG	 ShortPosNettedPartly	 2674	 mpAMVSEz7SbZVzJdexuhRMVfpNYvxbbBHh	 OpenShortPosition	 1445	 1445	 14724
mwU8MAUAnGcA9RFkEHRRKmKLddn6iNsEKG	 ShortPosNettedPartly	 1156	 mr9UfNxuSscu39pF2dr8C22GnQ6yaKMiRU	 OpenShortPosition	 1518	 1518	 14724
mmZQt2BbZBpbWEKymeSyazWZAS1CQRmU1x	 ShortPosNettedPartly	 1185	 mr9UfNxuSscu39pF2dr8C22GnQ6yaKMiRU	 ShortPosIncreased	 2427	 909	 14750
mr3TPh3poFmKMrdeQfe55VjsywFChbw9PQ	 ShortPosNettedPartly	 3610	 mr9UfNxuSscu39pF2dr8C22GnQ6yaKMiRU	 ShortPosIncreased	 2463	 36	 14956
mr3TPh3poFmKMrdeQfe55VjsywFChbw9PQ	 ShortPosNettedPartly	 2823	 mtFKiBNrxBmMA7fYa6M4mXK6xmDKDAdcuF	 LongPosNettedPartly	 810	 787	 14956
mho62ziKBMdbaUdYn6foS6ztyMfosyzUk4	 ShortPosNettedPartly	 3175	 mtFKiBNrxBmMA7fYa6M4mXK6xmDKDAdcuF	 LongPosNettedPartly	 609	 201	 15049
mho62ziKBMdbaUdYn6foS6ztyMfosyzUk4	 ShortPosNettedPartly	 597	 miQ8yz5KmGTpqiQ4JMULoK3wpyUdkaP5Rx	 OpenShortPosition	 2578	 2578	 15049
mpAMVSEz7SbZVzJdexuhRMVfpNYvxbbBHh	 ShortPosNettedPartly	 32	 miQ8yz5KmGTpqiQ4JMULoK3wpyUdkaP5Rx	 ShortPosIncreased	 3991	 1413	 15099
mqFraRZcbJFRHQ8hELbPs3uZv1Dbr1UpLh	 OpenLongPosition	 162	 miQ8yz5KmGTpqiQ4JMULoK3wpyUdkaP5Rx	 ShortPosIncreased	 4153	 162	 15110
n1dZfh2LnN6scysKGUAVQ3mVZhjD9SWzN5	 LongPosIncreased	 1389	 mqFraRZcbJFRHQ8hELbPs3uZv1Dbr1UpLh	 LongPosNetted	 0	 162	 21785
n1dZfh2LnN6scysKGUAVQ3mVZhjD9SWzN5	 LongPosIncreased	 2096	 mqFraRZcbJFRHQ8hELbPs3uZv1Dbr1UpLh	 OpenShortPosition	 707	 707	 21785
n1dZfh2LnN6scysKGUAVQ3mVZhjD9SWzN5	 LongPosIncreased	 4431	 myvV3T4arA6R99Kaj8eLKbgf52DDFx3J1Y	 OpenShortPosition	 2335	 2335	 21785
mxbTtqPBP8Mo27YgT9vrBUsh2DTnchJ2Pa	 ShortPosNettedPartly	 2877	 myvV3T4arA6R99Kaj8eLKbgf52DDFx3J1Y	 ShortPosIncreased	 2924	 589	 21994
mt671jnuSsXRSCivyUXetbE2bCmEfT12Bw	 LongPosIncreased	 4161	 mg12NXQwtv2gkud9mdMUwHtoqKL9ArXPth	 OpenShortPosition	 1064	 1064	 18101
mkJ6yx87wFxU4oCnf7i1tm4voDg7NSPAz6	 ShortPosNettedPartly	 1397	 mg12NXQwtv2gkud9mdMUwHtoqKL9ArXPth	 ShortPosIncreased	 2402	 1338	 18425
mhdDVVM7gp8tPveeb5Jv8XmHaxe1tmhCz4	 ShortPosNettedPartly	 2910	 mzW8vMAGyHWooR7Uc2xbPcNFPPFkRjKvvD	 OpenShortPosition	 839	 839	 19919
mqFraRZcbJFRHQ8hELbPs3uZv1Dbr1UpLh	 ShortPosNetted	 0	 mo9om6EmQG2kRpAervQQqeCVH8mRnk4eHf	 LongPosNettedPartly	 41	 707	 15110
