mzs3v4qfKYrgmZjBZ2bmgthdAWd5D4ZbpV	 OpenShortPosition	 3300000000	 moC1iHvJKd9RMtGJCfzvXE96rbFP5pyTqr	 LongPosIncreased	 8700000000	 3300000000
miagc8GbWnh1ncqggH6sBFshccKVShyFQS	 ShortPosIncreased	 7100000000	 moC1iHvJKd9RMtGJCfzvXE96rbFP5pyTqr	 LongPosIncreased	 8900000000	 200000000
moQwg5qx4GdAG4DiHX71XBWSc9cbnHStmY	 ShortPosIncreased	 7000000000	 n2PgXdWxzzig9X4rZDwkR3qM2mFeoFj5qt	 OpenLongPosByShortPosNetted	 1900000000	 5500000000
moC1iHvJKd9RMtGJCfzvXE96rbFP5pyTqr	 LongPosIncreased	 10000000000	 mhESP5Rac1igZXDyxwmGZrwQeGkUFaiPYD	 OpenShortPosition	 1100000000	 1100000000
n2PgXdWxzzig9X4rZDwkR3qM2mFeoFj5qt	 LongPosIncreased	 2500000000	 mhESP5Rac1igZXDyxwmGZrwQeGkUFaiPYD	 ShortPosIncreased	 1700000000	 600000000
mhESP5Rac1igZXDyxwmGZrwQeGkUFaiPYD	 ShortPosIncreased	 3500000000	 mobdTjzvgYD3Jrz7F3J8ks8VPQK3c1zivB	 OpenLongPosition	 1800000000	 1800000000
mhESP5Rac1igZXDyxwmGZrwQeGkUFaiPYD	 ShortPosIncreased	 4900000000	 mjzNxuC4xpvEWScM2myrX4wfyWLhipiX7w	 OpenLongPosition	 1400000000	 1400000000
mhESP5Rac1igZXDyxwmGZrwQeGkUFaiPYD	 ShortPosIncreased	 5200000000	 mi8pdoQGHxeu1dsD8LLE9pafw8mNfHJxud	 OpenLongPosition	 300000000	 300000000
mhbK8or2SNavbSSjbq29Y9UvPv2SEWk8Ds	 ShortPosIncreased	 5400000000	 mi8pdoQGHxeu1dsD8LLE9pafw8mNfHJxud	 LongPosIncreased	 1700000000	 1400000000
mi8pdoQGHxeu1dsD8LLE9pafw8mNfHJxud	 LongPosIncreased	 7500000000	 n2oznNfMRDcAZWXU4XXyx4MXZffGZUWpRr	 OpenShortPosByLongPosNetted	 3500000000	 5800000000
mhnw55WmLZxffnCuzYbDTSYRZuqbwmqxC7	 ShortPosIncreased	 9200000000	 mpiM7TimySYQFXWuxah1ToTL8h3BVowLn8	 ShortPosNettedPartly	 2200000000	 3000000000
mi8pdoQGHxeu1dsD8LLE9pafw8mNfHJxud	 LongPosIncreased	 8700000000	 mjUb4KG5XZ1RQwHUUgqA4s1531c5E8YNDW	 LongPosNettedPartly	 2600000000	 1200000000
mvaNfY19pAUdfzE5mw6oaeRKaSXo2GPnuV	 LongPosIncreased	 4800000000	 mjUb4KG5XZ1RQwHUUgqA4s1531c5E8YNDW	 LongPosNettedPartly	 1800000000	 800000000
mjUb4KG5XZ1RQwHUUgqA4s1531c5E8YNDW	 LongPosNettedPartly	 200000000	 mtbXmhUmPeqsAuaaym2h6QNYK2orxduaDq	 OpenLongPosition	 1600000000	 1600000000
mhnw55WmLZxffnCuzYbDTSYRZuqbwmqxC7	 ShortPosIncreased	 9900000000	 mtbXmhUmPeqsAuaaym2h6QNYK2orxduaDq	 LongPosIncreased	 2300000000	 700000000
mkoaDrQQnSsgWFY4u7ufAuEtngAKHAiwhK	 LongPosNettedPartly	 3100000000	 mtbXmhUmPeqsAuaaym2h6QNYK2orxduaDq	 LongPosIncreased	 2800000000	 500000000
modbn1BqwrWrnQtGQ7S1jza6kNB18RCMqV	 OpenShortPosition	 5800000000	 mtbXmhUmPeqsAuaaym2h6QNYK2orxduaDq	 LongPosIncreased	 8600000000	 5800000000
mp9yfGEManJYzwx9c8who87B1cghkxJr8y	 OpenShortPosByLongPosNetted	 200000000	 mrmH8bHbsgU1NsYTu6mxo9sPaoSqkhh1ab	 OpenLongPosition	 2300000000	 2300000000
mp9yfGEManJYzwx9c8who87B1cghkxJr8y	 ShortPosIncreased	 900000000	 mhkvKKQg7rgdFx42Q2NmkfgagsYevMXmS5	 LongPosIncreased	 900000000	 700000000
mnYoHGa2hT7N3YDe644BJ28HdupPN3pZMU	 ShortPosIncreased	 6800000000	 mhkvKKQg7rgdFx42Q2NmkfgagsYevMXmS5	 LongPosIncreased	 6000000000	 5100000000
msz1p7mP4vysokXfe7jSR1TPKBuNhNfkyo	 LongPosIncreased	 12100000000	 mhhaeUfzWfLYfXZLoVxuba54SPc98nXn4G	 OpenShortPosByLongPosNetted	 8700000000	 9400000000
mnYoHGa2hT7N3YDe644BJ28HdupPN3pZMU	 ShortPosIncreased	 8500000000	 my1PVCt7HXqjRrbVMrR7JjBD7eCCxZz9V4	 OpenLongPosByShortPosNetted	 1000000000	 1700000000
mnYoHGa2hT7N3YDe644BJ28HdupPN3pZMU	 ShortPosIncreased	 9100000000	 mudnY4TCe2BtnKVAFBuhvH6yi7v42THcFh	 OpenLongPosByShortPosNetted	 400000000	 600000000
mp3V49FZizwUgSbqEycYKZPwn6Y7sQtXKM	 OpenShortPosition	 400000000	 mudnY4TCe2BtnKVAFBuhvH6yi7v42THcFh	 LongPosIncreased	 800000000	 400000000
msz1p7mP4vysokXfe7jSR1TPKBuNhNfkyo	 LongPosIncreased	 12200000000	 mpcBhviQAqqD6omokyotHwJ1fRiGjPi5w9	 ShortPosIncreased	 4500000000	 100000000
mhkR2KS4sJW7qyiFixxvqBTavcDBmSzVuD	 LongPosIncreased	 7800000000	 n1XWCFEecPV1uLyUq9TejEhQAmbBfRxQAc	 OpenShortPosition	 2700000000	 2700000000
mwxjrF72AQLD5RPz28hkmRi5zVJ2XLYhSy	 OpenLongPosition	 3400000000	 n1XWCFEecPV1uLyUq9TejEhQAmbBfRxQAc	 ShortPosIncreased	 6100000000	 3400000000
n1yaRPGCWLhj8QRP4csyedwVFgv946haEz	 OpenLongPosition	 1500000000	 mhQ6VCEJeVLpdbsv8DZ8oHt4bzeBdNjipS	 ShortPosIncreased	 10900000000	 1500000000
mwxjrF72AQLD5RPz28hkmRi5zVJ2XLYhSy	 LongPosIncreased	 5000000000	 mhQ6VCEJeVLpdbsv8DZ8oHt4bzeBdNjipS	 ShortPosIncreased	 12500000000	 1600000000
n2LXE3B56gXCWYuMaEWrC2s633UExHAsLk	 ShortPosNettedPartly	 1400000000	 mhQ6VCEJeVLpdbsv8DZ8oHt4bzeBdNjipS	 ShortPosIncreased	 16200000000	 3700000000
mpcBhviQAqqD6omokyotHwJ1fRiGjPi5w9	 ShortPosIncreased	 8500000000	 mwtUfPK2sja58uDCGmNaUbPPhyk2UrauQL	 LongPosIncreased	 4100000000	 4000000000
n2LXE3B56gXCWYuMaEWrC2s633UExHAsLk	 OpenLongPosByShortPosNetted	 400000000	 mvYRyfW42jjPCQ6R3vHZYNZc8wZsMiPjEJ	 LongPosNettedPartly	 5700000000	 1800000000
mpcBhviQAqqD6omokyotHwJ1fRiGjPi5w9	 ShortPosIncreased	 10700000000	 mpZNCifxTdxi5sHN97eHQH4FoX4aDySsWm	 LongPosIncreased	 12200000000	 2200000000
n2LXE3B56gXCWYuMaEWrC2s633UExHAsLk	 LongPosIncreased	 4900000000	 my6YmudosrA6QnEbdJb3uRfXSygnZdsuKH	 ShortPosIncreased	 13200000000	 4500000000
mq4zAK2ytmaqfdQcUZb9DNziYqZKuNNwvF	 OpenShortPosByLongPosNetted	 5500000000	 mmermNng4U9tnDsoKUHMfjjyTAyUaaGU2Z	 ShortPosNettedPartly	 2400000000	 6200000000
n1yH9W9i3Jo8aJhPUhQ27T3tYtszB69V6z	 ShortPosIncreased	 6800000000	 mrk51Cd25j8uN9j2LkQdQJpL4JA41iuqfY	 OpenLongPosByShortPosNetted	 3200000000	 4900000000
mq4zAK2ytmaqfdQcUZb9DNziYqZKuNNwvF	 ShortPosIncreased	 5700000000	 mrk51Cd25j8uN9j2LkQdQJpL4JA41iuqfY	 LongPosIncreased	 3400000000	 200000000
mxLGGh3y8ekcXzahxKFzrb8dKL73CeNqih	 LongPosNettedPartly	 5900000000	 mrk51Cd25j8uN9j2LkQdQJpL4JA41iuqfY	 LongPosIncreased	 7000000000	 3600000000
my6YmudosrA6QnEbdJb3uRfXSygnZdsuKH	 ShortPosIncreased	 14500000000	 mrk51Cd25j8uN9j2LkQdQJpL4JA41iuqfY	 LongPosIncreased	 8300000000	 1300000000
