mzFom5u78GNjr3QppT8s165WF64t9weFsW	 OpenLongPosition	 202	 myyz5jaHNhb7HyqmbDPzfTAKifHwe5zfG8	 LongPosNettedPartly	 1360	 202
mhQiKRJ92t7PkmFAsSAWx6cvqdCJEdAGjN	 LongPosIncreased	 3664	 micxfo7M1KL8dhQeWBQjR4rSdbFWNNmqjR	 OpenShortPosition	 1395	 1395
mzFom5u78GNjr3QppT8s165WF64t9weFsW	 LongPosIncreased	 590	 micxfo7M1KL8dhQeWBQjR4rSdbFWNNmqjR	 ShortPosIncreased	 1783	 388
n2B5LzevVk8Ucuk8e2QpYiuxg4sLamBPEZ	 OpenLongPosition	 1828	 micxfo7M1KL8dhQeWBQjR4rSdbFWNNmqjR	 ShortPosIncreased	 3611	 1828
mxFycE4S1G5KmQNUvv3HLXrYYEakBF7UgA	 ShortPosNettedPartly	 256	 micxfo7M1KL8dhQeWBQjR4rSdbFWNNmqjR	 ShortPosIncreased	 4085	 474
myc23Yobr6piJKfWienY59UUbjcCmVMhBk	 ShortPosNettedPartly	 837	 mnoae3HAseyH9snfytepzC4BTV1fUGSjZ2	 LongPosNettedPartly	 302	 654
msPnGfvkzHeE82JBjD4wJxBLnwfRokvk6j	 OpenLongPosition	 1727	 n1hhQqrdgDbM9ei6Ten14DFSWRqqHE6GuR	 OpenShortPosition	 1727	 1727
mhhmLnKh1MzRQbRCC8rPuYfoT9GpqWeHiS	 LongPosIncreased	 390	 n1Jk28GoxETmYa59fT3BDBmANSVuTeXkzX	 LongPosNettedPartly	 897	 91
mxZfoMbDgnadhtpBEgpeEHmWX4xD3bWirp	 OpenLongPosition	 897	 n1Jk28GoxETmYa59fT3BDBmANSVuTeXkzX	 LongPosNetted	 0	 897
mxZfoMbDgnadhtpBEgpeEHmWX4xD3bWirp	 LongPosIncreased	 3234	 n1Jk28GoxETmYa59fT3BDBmANSVuTeXkzX	 OpenShortPosition	 2337	 2337
muCTDsWyooE1eNBk6jhNuJnFyKtodAqhgX	 ShortPosNetted	 0	 n1Jk28GoxETmYa59fT3BDBmANSVuTeXkzX	 ShortPosIncreased	 3325	 988
muCTDsWyooE1eNBk6jhNuJnFyKtodAqhgX	 OpenLongPosition	 673	 n1Jk28GoxETmYa59fT3BDBmANSVuTeXkzX	 ShortPosIncreased	 3998	 673
mxFycE4S1G5KmQNUvv3HLXrYYEakBF7UgA	 ShortPosNetted	 0	 my289fyXhDpaQ2MU7r8a7sH8cZQZgE2Wq8	 OpenShortPosition	 256	 256
mxFycE4S1G5KmQNUvv3HLXrYYEakBF7UgA	 OpenLongPosition	 2508	 my289fyXhDpaQ2MU7r8a7sH8cZQZgE2Wq8	 ShortPosIncreased	 2764	 2508
mrZWnYz3ofjty9GWFxn3P8bUk5x5BJhXyQ	 LongPosIncreased	 3591	 moB6Rm9hrjv35gXJwvBokpWi7yA51nf2tQ	 OpenShortPosition	 2769	 2769
moyBpPDDRndLVDoirPycAre9FLtmccFDG9	 OpenLongPosition	 672	 moB6Rm9hrjv35gXJwvBokpWi7yA51nf2tQ	 ShortPosIncreased	 3441	 672
my7sjVLnFcu74Mmfxyrs6QiaoUUhEbGmLL	 ShortPosNettedPartly	 480	 n2B5LzevVk8Ucuk8e2QpYiuxg4sLamBPEZ	 LongPosNettedPartly	 1027	 801
mxFycE4S1G5KmQNUvv3HLXrYYEakBF7UgA	 LongPosIncreased	 3363	 mjn9aSVy81XciWEYVezdRLRCUSBaKcCYVG	 OpenShortPosition	 855	 855
n1Jk28GoxETmYa59fT3BDBmANSVuTeXkzX	 ShortPosNettedPartly	 1184	 mjn9aSVy81XciWEYVezdRLRCUSBaKcCYVG	 ShortPosIncreased	 3669	 2814
mfXRBdeimu2HnMyfcNGLEgfYxa6DA5EQap	 LongPosIncreased	 2994	 mrZWnYz3ofjty9GWFxn3P8bUk5x5BJhXyQ	 LongPosNettedPartly	 2573	 1018
n4M3mAn2uLUGqc18YV1Q6xbBu68VpYpZYv	 OpenLongPosition	 224	 moBofRQfVmwJwAkJtbc3hx513BCe951s6k	 LongPosNettedPartly	 1399	 224
n2X4Sn4NpXqBYgJEEWagwJc9UDADD3CWuK	 OpenLongPosition	 1110	 moBofRQfVmwJwAkJtbc3hx513BCe951s6k	 LongPosNettedPartly	 289	 1110
muCTDsWyooE1eNBk6jhNuJnFyKtodAqhgX	 LongPosIncreased	 2012	 mmvvfkikbMkjkVQzNoFF9MS5sAV9EZ6Snq	 OpenShortPosition	 1339	 1339
n4G1sFSvMdwnNXEbVJoBzZHV4HRFRvL4w3	 OpenLongPosition	 1708	 mmvvfkikbMkjkVQzNoFF9MS5sAV9EZ6Snq	 ShortPosIncreased	 3047	 1708
myPJgNx9Jovx356vkfGd6h8CjgzdfwLUF6	 LongPosIncreased	 1312	 mjWsVzeYYUiwgJijv1SdZmN8Ct5mJQzqgs	 LongPosNetted	 0	 990
myPJgNx9Jovx356vkfGd6h8CjgzdfwLUF6	 LongPosIncreased	 2292	 mjWsVzeYYUiwgJijv1SdZmN8Ct5mJQzqgs	 OpenShortPosition	 980	 980
mpKZFQE3Y9D9JUy5joBvMrHALM7z8473uz	 ShortPosNetted	 0	 mjWsVzeYYUiwgJijv1SdZmN8Ct5mJQzqgs	 ShortPosIncreased	 1302	 322
mpKZFQE3Y9D9JUy5joBvMrHALM7z8473uz	 OpenLongPosition	 479	 mjWsVzeYYUiwgJijv1SdZmN8Ct5mJQzqgs	 ShortPosIncreased	 1781	 479
my7sjVLnFcu74Mmfxyrs6QiaoUUhEbGmLL	 ShortPosNetted	 0	 mj6dkBZP21KV1SRX4JEUWgdTodQ7kiaiAy	 LongPosNettedPartly	 2443	 2443
