mh7bxyEWwjrmpUkkJRd7i7P1e2BTZmMups	 OpenLongPosition	 642	 mqnTnwiqyaEY5oNVLz2V8JdXN4WAzhKD3U	 ShortPosIncreased	 2680	 642	 21276
mornUF4e2zhFsNMWeFBKjLCdyX8owRGEow	 OpenLongPosition	 81	 mqnTnwiqyaEY5oNVLz2V8JdXN4WAzhKD3U	 ShortPosIncreased	 2761	 81	 21537
n4TGnst5kkrnXK6jnj3bemdU1y95m4Uoiy	 LongPosIncreased	 4899	 mn8QLENXx1oxAbnKD13mwRXjJZa9xeq2Bt	 OpenShortPosition	 2285	 2285	 18116
mjRBQJgqUAHqoiT4HgT8HSKbjPW7fs7LEz	 OpenLongPosition	 1479	 mn8QLENXx1oxAbnKD13mwRXjJZa9xeq2Bt	 ShortPosIncreased	 3764	 1479	 18250
moaWhGueaRC6ZVhpfvnR74uewRMcG2wbNB	 LongPosIncreased	 4702	 myAY77ZNcbQiNVk9aMFc8HprB3HfweDLiz	 LongPosNettedPartly	 202	 659	 18458
mj98pMSTSPttFg3Ugg2DRWMbwURt25Sf8f	 ShortPosNettedPartly	 195	 myAY77ZNcbQiNVk9aMFc8HprB3HfweDLiz	 LongPosNetted	 0	 202	 18730
mj98pMSTSPttFg3Ugg2DRWMbwURt25Sf8f	 ShortPosNetted	 0	 myAY77ZNcbQiNVk9aMFc8HprB3HfweDLiz	 OpenShortPosition	 195	 195	 18730
mj98pMSTSPttFg3Ugg2DRWMbwURt25Sf8f	 OpenLongPosition	 2645	 myAY77ZNcbQiNVk9aMFc8HprB3HfweDLiz	 ShortPosIncreased	 2840	 2645	 18730
mo1oJX78m4QX6z6qRVwA37RzQYmMAYc4LC	 LongPosIncreased	 4896	 mrdCZQtsasEvLgtaUsY4wNNki32qBPJLGx	 LongPosNettedPartly	 1769	 1643	 11267
mkNWPMwVTcHnpotgMFuH1cYF8bVXL5MkTA	 ShortPosNettedPartly	 2633	 mrdCZQtsasEvLgtaUsY4wNNki32qBPJLGx	 LongPosNettedPartly	 395	 1374	 11330
myAY77ZNcbQiNVk9aMFc8HprB3HfweDLiz	 ShortPosNettedPartly	 1008	 mmVvTL192Wk8WngZXqS6A2dAS9tDaSiN6k	 OpenShortPosition	 1832	 1832	 15229
mn2QxmN1LyMDemFhwMDaNZQK8AsJJRoNQr	 ShortPosNettedPartly	 1776	 mmVvTL192Wk8WngZXqS6A2dAS9tDaSiN6k	 ShortPosIncreased	 3975	 2143	 15404
n2vhze8m1Qq12FwcUJCbM2xJp87KpnsBTJ	 ShortPosNetted	 0	 n3NHzytAqVYAJZF2yyr6EyFf4NcAyieBEF	 OpenShortPosition	 1795	 1795	 14335
n2vhze8m1Qq12FwcUJCbM2xJp87KpnsBTJ	 OpenLongPosition	 902	 n3NHzytAqVYAJZF2yyr6EyFf4NcAyieBEF	 ShortPosIncreased	 2697	 902	 14335
mtRxSUEzRMcoRSbWMYWb2ye8FdrES3ec2E	 OpenLongPosition	 423	 mjz6ARpe6uv5S9FWRpm71rxsY6XuKniMR9	 LongPosNettedPartly	 4672	 423	 18930
mxWjE3FQ1ChE3hNEsEpzWPMjiwkTBxBD1J	 LongPosIncreased	 1882	 mjz6ARpe6uv5S9FWRpm71rxsY6XuKniMR9	 LongPosNettedPartly	 3495	 1177	 19828
mntSaPer54ELKSmmEKcqLcZBGW8K889m6K	 OpenLongPosition	 715	 mjz6ARpe6uv5S9FWRpm71rxsY6XuKniMR9	 LongPosNettedPartly	 2780	 715	 19894
n1b1AGU4DWnDR4SjBg7dQVQW3qwTWBJ5cR	 LongPosIncreased	 2298	 moaWhGueaRC6ZVhpfvnR74uewRMcG2wbNB	 LongPosNettedPartly	 3633	 1069	 17558
mkekD5nYUwa3qvyyHK3hZwd6Y7rBtScNxK	 OpenLongPosition	 1119	 moaWhGueaRC6ZVhpfvnR74uewRMcG2wbNB	 LongPosNettedPartly	 2514	 1119	 17581
mrkyVGEK4d3SbYeiecgbDzr5ztgSSBVdoc	 OpenLongPosition	 1701	 moaWhGueaRC6ZVhpfvnR74uewRMcG2wbNB	 LongPosNettedPartly	 813	 1701	 17772
