mkf51QwBeFU9E3WMTCtrbSPgoQqodSLDgx	 ShortPosNettedPartly	 1275	 mz3bn1uG1RmgfTUWhQWQdEzHDfGeP73BRE	 OpenShortPosition	 1247	 1247
myMDfYhWKcyisnmbGMr1DbMPfLApVbTpDo	 LongPosIncreased	 1959	 mqMGdFenqRumyYSrERRvZG6naWZZjyaz1a	 LongPosNetted	 0	 1088
myMDfYhWKcyisnmbGMr1DbMPfLApVbTpDo	 LongPosIncreased	 2488	 mqMGdFenqRumyYSrERRvZG6naWZZjyaz1a	 OpenShortPosition	 529	 529
myMDfYhWKcyisnmbGMr1DbMPfLApVbTpDo	 LongPosIncreased	 2496	 miyUJs6WpsRcTYyk4ZmCug7hFNeHxvLVHY	 LongPosNettedPartly	 653	 8
msveq1PstTs6L46SR92LvZ99Dz4FidmXPN	 OpenLongPosition	 653	 miyUJs6WpsRcTYyk4ZmCug7hFNeHxvLVHY	 LongPosNetted	 0	 653
msveq1PstTs6L46SR92LvZ99Dz4FidmXPN	 LongPosIncreased	 4207	 miyUJs6WpsRcTYyk4ZmCug7hFNeHxvLVHY	 OpenShortPosition	 3554	 3554
mznRKFz3GPKvu1RzbfY1kUrPRAQKT1MvbX	 OpenLongPosition	 858	 miyUJs6WpsRcTYyk4ZmCug7hFNeHxvLVHY	 ShortPosIncreased	 4412	 858
n2AF2enyGM95HuM7k56N6JFxQzMWb2w76V	 LongPosIncreased	 5077	 muFfzrAb3FyJHy4gQBi7UYM2bkh7P4vsNB	 LongPosNettedPartly	 1581	 1095
n4ckXyowqABNzVLDhnXeBrm1C1qzLRejRN	 OpenLongPosition	 1581	 muFfzrAb3FyJHy4gQBi7UYM2bkh7P4vsNB	 LongPosNetted	 0	 1581
n4ckXyowqABNzVLDhnXeBrm1C1qzLRejRN	 LongPosIncreased	 2030	 muFfzrAb3FyJHy4gQBi7UYM2bkh7P4vsNB	 OpenShortPosition	 449	 449
mmQpkb8Xgvc9nHEDUNEEyb1x2Drik5caxT	 ShortPosNettedPartly	 3124	 muFfzrAb3FyJHy4gQBi7UYM2bkh7P4vsNB	 ShortPosIncreased	 1463	 1014
mkJMWtTuYRTLc9gHT65BonwaQLLEVSjrv4	 ShortPosNettedPartly	 3515	 moks9mUK6bA62TAsUGMQk69PXRz91XSUAp	 OpenShortPosition	 107	 107
ms3tUm3TWTuR6uMchmjuyJVN9V6bjstmFh	 ShortPosNetted	 0	 moks9mUK6bA62TAsUGMQk69PXRz91XSUAp	 ShortPosIncreased	 1048	 941
ms3tUm3TWTuR6uMchmjuyJVN9V6bjstmFh	 OpenLongPosition	 1743	 moks9mUK6bA62TAsUGMQk69PXRz91XSUAp	 ShortPosIncreased	 2791	 1743
mznRKFz3GPKvu1RzbfY1kUrPRAQKT1MvbX	 LongPosIncreased	 3741	 msL7nY77MMjpaYbNr3iiJTRKEnkiUAne3E	 OpenShortPosition	 2883	 2883
mqHqzkycKSezcinCHPBMTZjEjbbZ5DcP1F	 ShortPosNetted	 0	 msL7nY77MMjpaYbNr3iiJTRKEnkiUAne3E	 ShortPosIncreased	 3035	 152
mqHqzkycKSezcinCHPBMTZjEjbbZ5DcP1F	 OpenLongPosition	 58	 msL7nY77MMjpaYbNr3iiJTRKEnkiUAne3E	 ShortPosIncreased	 3093	 58
mmQpkb8Xgvc9nHEDUNEEyb1x2Drik5caxT	 ShortPosNettedPartly	 2972	 n3yEeM6CHD7srfMGjGBGLCXNqDqyAsqrvh	 LongPosNetted	 0	 152
mmQpkb8Xgvc9nHEDUNEEyb1x2Drik5caxT	 ShortPosNettedPartly	 2938	 n3yEeM6CHD7srfMGjGBGLCXNqDqyAsqrvh	 OpenShortPosition	 34	 34
mz3bn1uG1RmgfTUWhQWQdEzHDfGeP73BRE	 ShortPosNetted	 0	 n3yEeM6CHD7srfMGjGBGLCXNqDqyAsqrvh	 ShortPosIncreased	 1281	 1247
mz3bn1uG1RmgfTUWhQWQdEzHDfGeP73BRE	 OpenLongPosition	 581	 n3yEeM6CHD7srfMGjGBGLCXNqDqyAsqrvh	 ShortPosIncreased	 1862	 581
n3ngHLaGiGTjiD7JhpDi56agn9qqoTM2yo	 OpenLongPosition	 720	 n3yEeM6CHD7srfMGjGBGLCXNqDqyAsqrvh	 ShortPosIncreased	 2582	 720
mrYQDTToiCRN4XpZReibd1zb1uyKiAMgSH	 LongPosIncreased	 3946	 n3yEeM6CHD7srfMGjGBGLCXNqDqyAsqrvh	 ShortPosIncreased	 2775	 193
ms3tUm3TWTuR6uMchmjuyJVN9V6bjstmFh	 LongPosIncreased	 2900	 n3yEeM6CHD7srfMGjGBGLCXNqDqyAsqrvh	 ShortPosIncreased	 3932	 1157
mvtGTZ2nSNBFdrfJKwtLuXdWs5T5hc9jip	 OpenLongPosition	 617	 n3yEeM6CHD7srfMGjGBGLCXNqDqyAsqrvh	 ShortPosIncreased	 4549	 617
mvtGTZ2nSNBFdrfJKwtLuXdWs5T5hc9jip	 LongPosIncreased	 924	 msveq1PstTs6L46SR92LvZ99Dz4FidmXPN	 LongPosNettedPartly	 3900	 307
