mxHQGguw8CGjEqaGz5rQyWadknk3ejUC5a	 LongPosIncreased	 6200000000	 mpS9T98MhyeziiPQGkYZXktUBnPvNqrHGN	 ShortPosIncreased	 5300000000	 300000000
mv6fjJ1vnoMs8YqgoT5uQxvGkT9oJmKyQ3	 LongPosIncreased	 8500000000	 mv1e3xQibtC7WwT9W3nYHsoNaztg77ckP1	 OpenShortPosByLongPosNetted	 2300000000	 3500000000
mxHQGguw8CGjEqaGz5rQyWadknk3ejUC5a	 LongPosIncreased	 8000000000	 mv1e3xQibtC7WwT9W3nYHsoNaztg77ckP1	 ShortPosIncreased	 4100000000	 1800000000
mirSM4SJmsaczJwW4MhDt9ZJixHcb6fRgU	 OpenLongPosByShortPosNetted	 3400000000	 mv1e3xQibtC7WwT9W3nYHsoNaztg77ckP1	 ShortPosIncreased	 8300000000	 4200000000
n2f2HYYE2CkJHnDaYCtWYwqVb4HnfyXuxa	 LongPosIncreased	 7900000000	 mubeze4dfVbqfB7G44g1QQ8V5Gt2hy4TgL	 OpenShortPosByLongPosNetted	 2300000000	 7100000000
miRaDhhn98nTaGEAZcfRnR9KavdKvTsg9y	 LongPosNettedPartly	 2500000000	 n342mUnCv9PE5XVgWSjWUMP6V27KohuHYH	 LongPosIncreased	 11000000000	 2000000000
miRaDhhn98nTaGEAZcfRnR9KavdKvTsg9y	 OpenShortPosByLongPosNetted	 2600000000	 mkJoqGXBAHvtw7aK6gmasAojXH6rrnfS2H	 LongPosIncreased	 10600000000	 5100000000
mkPTVcDMmQV6zFGYaEeSEd4CrdsWeX6uw6	 LongPosNettedPartly	 3100000000	 mkJoqGXBAHvtw7aK6gmasAojXH6rrnfS2H	 LongPosIncreased	 13300000000	 2700000000
mirSM4SJmsaczJwW4MhDt9ZJixHcb6fRgU	 LongPosIncreased	 5200000000	 msq3yZRVKPt1AbDzwWwh8bGgnfVEBKeb19	 OpenShortPosition	 1800000000	 1800000000
n1U3ieNQwCDFxLyVrds1SSQdsjcnNnwysa	 LongPosIncreased	 10500000000	 msq3yZRVKPt1AbDzwWwh8bGgnfVEBKeb19	 ShortPosIncreased	 3900000000	 2100000000
n2f2HYYE2CkJHnDaYCtWYwqVb4HnfyXuxa	 LongPosIncreased	 8300000000	 miZSCTsNPmDWNsAS28rwxhTQfXQtMu8nXn	 OpenShortPosition	 400000000	 400000000
